dataset,accuracy,time_training_seconds,time_test_seconds,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes,accuracy_diff,train_time_diff,test_time_diff
ACSF1,0.822333,0.49,0.25,0.91,0.9099999999999999,0.9092774756390318,0.16774392127990723,0.09416818618774414,100,100,1460,10,0.08766700000000005,-0.32225607872009276,-0.15583181381225586
Adiac,0.801705,0.45,0.23,0.8260869565217391,0.8290597915597916,0.8145176600250611,0.2094440460205078,0.15686988830566406,390,391,176,37,0.024381956521739134,-0.2405559539794922,-0.07313011169433595
ArrowHead,0.880952,0.13,0.14,0.8571428571428571,0.8719351016315743,0.8579714347552917,0.07978606224060059,0.11001706123352051,36,175,251,3,-0.023809142857142862,-0.05021393775939942,-0.029982938766479506
BME,0.992222,0.11,0.07,1.0,1.0,1.0,0.13260912895202637,0.12734603881835938,30,150,128,3,0.007777999999999952,0.022609128952026367,0.05734603881835937
Beef,0.761111,0.17,0.04,0.8333333333333334,0.8333333333333334,0.8398268398268398,0.1372699737548828,0.021970033645629883,30,30,470,5,0.07222233333333339,-0.0327300262451172,-0.018029966354370118
BeetleFly,0.906667,0.14,0.02,0.9,0.9,0.898989898989899,0.06402468681335449,0.028988361358642578,20,20,512,2,-0.0066669999999999785,-0.07597531318664552,0.008988361358642578
BirdChicken,0.908333,0.15,0.02,0.9,0.9,0.898989898989899,0.06328392028808594,0.019757986068725586,20,20,512,2,-0.008332999999999924,-0.08671607971191406,-0.00024201393127441448
CBF,0.996222,0.08,0.4,0.9988888888888889,0.9988888888888888,0.9988925527854046,0.04195594787597656,0.1326920986175537,30,900,128,3,0.0026668888888888853,-0.03804405212402344,-0.2673079013824463
Car,0.921111,0.2,0.07,0.9166666666666666,0.9159919028340081,0.917948717948718,0.08666110038757324,0.04055309295654297,60,60,577,4,-0.004444333333333383,-0.11333889961242677,-0.029446907043457038
Chinatown,0.968999,0.1,0.12,0.9825072886297376,0.9879518072289157,0.9784385214986171,0.018980741500854492,0.04482412338256836,20,343,24,2,0.01350828862973752,-0.08101925849914551,-0.07517587661743164
ChlorineConcentration,0.753351,0.56,2.15,0.76484375,0.7035364345065002,0.7207392013572798,0.20153403282165527,0.4140629768371582,467,3840,166,3,0.011492750000000052,-0.3584659671783448,-1.7359370231628417
CinCECGTorso,0.875797,0.41,3.82,0.8673913043478261,0.8671454701527554,0.8679450961451101,0.11129307746887207,0.7833981513977051,40,1380,1639,4,-0.008405695652173972,-0.2987069225311279,-3.0366018486022948
Coffee,0.99881,0.15,0.03,1.0,1.0,1.0,0.04933905601501465,0.021140098571777344,28,28,286,2,0.0011900000000000244,-0.10066094398498535,-0.008859901428222655
Computers,0.793867,0.52,0.32,0.724,0.724,0.7238895558223288,0.21783208847045898,0.11356806755065918,250,250,720,2,-0.06986700000000001,-0.30216791152954103,-0.20643193244934083
CricketX,0.825128,0.53,0.3,0.8025641025641026,0.8132171572549657,0.8059026159712199,0.20300006866455078,0.07820582389831543,390,390,300,12,-0.022563897435897373,-0.32699993133544925,-0.22179417610168456
CricketY,0.841368,0.53,0.3,0.8256410256410256,0.8278239643659965,0.8265354830503809,0.2287139892578125,0.08172988891601562,390,390,300,12,-0.01572697435897441,-0.3012860107421875,-0.21827011108398436
CricketZ,0.842479,0.53,0.3,0.823076923076923,0.8146581094238096,0.8130910336583815,0.19252681732177734,0.09628796577453613,390,390,300,12,-0.01940207692307694,-0.3374731826782227,-0.20371203422546386
Crop,0.752248,102.87,6.38,0.7651785714285714,0.7651785714285714,0.7616545506545555,42.331445932388306,2.0595030784606934,7200,16800,46,24,0.012930571428571347,-60.5385540676117,-4.3204969215393065
DiatomSizeReduction,0.94281,0.1,0.26,0.9248366013071896,0.8749194068343005,0.8948350241774913,0.05550193786621094,0.08057403564453125,16,306,345,4,-0.01797339869281045,-0.04449806213378907,-0.17942596435546876
DistalPhalanxOutlineAgeGroup,0.803837,0.38,0.06,0.7697841726618705,0.7783572359843546,0.765129476584022,0.16466999053955078,0.030543088912963867,400,139,80,3,-0.03405282733812953,-0.21533000946044922,-0.02945691108703613
DistalPhalanxOutlineCorrect,0.821377,0.6,0.12,0.7717391304347826,0.7484472049689441,0.7545697065507362,0.27411580085754395,0.08415889739990234,600,276,80,2,-0.04963786956521743,-0.32588419914245603,-0.03584110260009765
DistalPhalanxTW,0.695923,0.38,0.06,0.697841726618705,0.5227076773129405,0.5071285705004568,0.16937708854675293,0.09577584266662598,400,139,80,6,0.0019187266187050689,-0.21062291145324707,0.03577584266662598
ECG200,0.899333,0.17,0.04,0.91,0.8932291666666667,0.9004314636574842,0.04949212074279785,0.03275704383850098,100,100,96,2,0.010666999999999982,-0.12050787925720216,-0.007242956161499024
ECG5000,0.946133,0.59,2.34,0.9457777777777778,0.5585701647931561,0.6020379820791498,0.19915080070495605,0.4301869869232178,500,4500,140,5,-0.0003552222222221735,-0.3908491992950439,-1.909813013076782
ECGFiveDays,0.990476,0.08,0.42,1.0,1.0,1.0,0.07621312141418457,0.07832789421081543,23,861,136,2,0.009523999999999977,-0.0037868785858154314,-0.34167210578918455
EOGHorizontalSignal,0.83628,1.08,0.75,0.5939226519337016,0.5957761710542578,0.6029922705897324,0.3137180805206299,0.2873849868774414,362,362,1250,12,-0.24235734806629838,-0.7662819194793702,-0.4626150131225586
EOGVerticalSignal,0.798066,1.08,0.75,0.5441988950276243,0.5455907798788778,0.5288013200860456,0.5437512397766113,0.29761815071105957,362,362,1250,12,-0.25386710497237575,-0.5362487602233887,-0.45238184928894043
Earthquakes,0.748681,0.52,0.13,0.7482014388489209,0.5189560439560439,0.47806029395987554,0.2138199806213379,0.06158089637756348,322,139,512,2,-0.0004795611510791664,-0.3061800193786621,-0.06841910362243653
ElectricDevices,0.874366,179.88,2.97,0.7289586305278174,0.6443771036206759,0.6517506869021387,87.36219000816345,0.5291659832000732,8926,7711,96,7,-0.14540736947218258,-92.51780999183654,-2.440834016799927
EthanolLevel,0.664,2.01,1.53,0.596,0.5964221710189452,0.5753392983106018,0.4558730125427246,0.3817901611328125,504,500,1751,4,-0.06800000000000006,-1.5541269874572752,-1.1482098388671875
