dataset,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes
ACSF1,0.91,0.9099999999999999,0.9092774756390318,0.16774392127990723,0.09416818618774414,100,100,1460,10
Adiac,0.8260869565217391,0.8290597915597916,0.8145176600250611,0.2094440460205078,0.15686988830566406,390,391,176,37
ArrowHead,0.8571428571428571,0.8719351016315743,0.8579714347552917,0.07978606224060059,0.11001706123352051,36,175,251,3
BME,1.0,1.0,1.0,0.13260912895202637,0.12734603881835938,30,150,128,3
Beef,0.8333333333333334,0.8333333333333334,0.8398268398268398,0.1372699737548828,0.021970033645629883,30,30,470,5
BeetleFly,0.9,0.9,0.898989898989899,0.06402468681335449,0.028988361358642578,20,20,512,2
BirdChicken,0.9,0.9,0.898989898989899,0.06328392028808594,0.019757986068725586,20,20,512,2
CBF,0.9988888888888889,0.9988888888888888,0.9988925527854046,0.04195594787597656,0.1326920986175537,30,900,128,3
Car,0.9166666666666666,0.9159919028340081,0.917948717948718,0.08666110038757324,0.04055309295654297,60,60,577,4
Chinatown,0.9825072886297376,0.9879518072289157,0.9784385214986171,0.018980741500854492,0.04482412338256836,20,343,24,2
ChlorineConcentration,0.76484375,0.7035364345065002,0.7207392013572798,0.20153403282165527,0.4140629768371582,467,3840,166,3
CinCECGTorso,0.8673913043478261,0.8671454701527554,0.8679450961451101,0.11129307746887207,0.7833981513977051,40,1380,1639,4
Coffee,1.0,1.0,1.0,0.04933905601501465,0.021140098571777344,28,28,286,2
Computers,0.724,0.724,0.7238895558223288,0.21783208847045898,0.11356806755065918,250,250,720,2
CricketX,0.8025641025641026,0.8132171572549657,0.8059026159712199,0.20300006866455078,0.07820582389831543,390,390,300,12
CricketY,0.8256410256410256,0.8278239643659965,0.8265354830503809,0.2287139892578125,0.08172988891601562,390,390,300,12
CricketZ,0.823076923076923,0.8146581094238096,0.8130910336583815,0.19252681732177734,0.09628796577453613,390,390,300,12
Crop,0.7651785714285714,0.7651785714285714,0.7616545506545555,42.331445932388306,2.0595030784606934,7200,16800,46,24
DiatomSizeReduction,0.9248366013071896,0.8749194068343005,0.8948350241774913,0.05550193786621094,0.08057403564453125,16,306,345,4
DistalPhalanxOutlineAgeGroup,0.7697841726618705,0.7783572359843546,0.765129476584022,0.16466999053955078,0.030543088912963867,400,139,80,3
DistalPhalanxOutlineCorrect,0.7717391304347826,0.7484472049689441,0.7545697065507362,0.27411580085754395,0.08415889739990234,600,276,80,2
DistalPhalanxTW,0.697841726618705,0.5227076773129405,0.5071285705004568,0.16937708854675293,0.09577584266662598,400,139,80,6
ECG200,0.91,0.8932291666666667,0.9004314636574842,0.04949212074279785,0.03275704383850098,100,100,96,2
ECG5000,0.9457777777777778,0.5585701647931561,0.6020379820791498,0.19915080070495605,0.4301869869232178,500,4500,140,5
ECGFiveDays,1.0,1.0,1.0,0.07621312141418457,0.07832789421081543,23,861,136,2
EOGHorizontalSignal,0.5939226519337016,0.5957761710542578,0.6029922705897324,0.3137180805206299,0.2873849868774414,362,362,1250,12
EOGVerticalSignal,0.5441988950276243,0.5455907798788778,0.5288013200860456,0.5437512397766113,0.29761815071105957,362,362,1250,12
Earthquakes,0.7482014388489209,0.5189560439560439,0.47806029395987554,0.2138199806213379,0.06158089637756348,322,139,512,2
ElectricDevices,0.7289586305278174,0.6443771036206759,0.6517506869021387,87.36219000816345,0.5291659832000732,8926,7711,96,7
EthanolLevel,0.596,0.5964221710189452,0.5753392983106018,0.4558730125427246,0.3817901611328125,504,500,1751,4
FaceAll,0.8023668639053254,0.90613858030215,0.8510593397271331,0.30988311767578125,0.1730189323425293,560,1690,131,14
FaceFour,0.9886363636363636,0.9886363636363636,0.9894690653795524,0.05932283401489258,0.02633380889892578,24,88,350,4
FacesUCR,0.9604878048780487,0.9384686397080596,0.9486939524859144,0.09104013442993164,0.20101404190063477,200,2050,131,14
FiftyWords,0.8395604395604396,0.7471832641558646,0.7424486282764728,0.2502779960632324,0.0943610668182373,450,455,270,50
Fish,0.9714285714285714,0.9729650480882007,0.9715560892021322,0.2535398006439209,0.1136770248413086,175,175,463,7
FordA,0.9446969696969697,0.9445202787946474,0.9446267679812159,6.641103029251099,0.33241701126098633,3601,1320,500,2
FordB,0.817283950617284,0.8173392923559073,0.81728283665805,6.62651801109314,0.21549010276794434,3636,810,500,2
FreezerRegularTrain,0.9992982456140351,0.9992982456140351,0.9992982456140351,0.1039738655090332,0.429307222366333,150,2850,301,2
FreezerSmallTrain,0.968421052631579,0.968421052631579,0.9683935962098931,0.05886673927307129,0.41516923904418945,28,2850,301,2
GunPoint,0.9933333333333333,0.993421052631579,0.9933330370238678,0.05838179588317871,0.03510403633117676,50,150,150,2
